source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001423_features,0.7363342,0.26366556,21.285369873046875,663.14197,630.55365
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001424_features,0.7731107,0.22688925,19.794891357421875,601.7874,664.54846
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001425_features,0.69734687,0.30265307,20.84952735900879,604.9407,470.83972
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001426_features,0.69332373,0.3066762,23.154022216796875,699.93787,602.8214
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001427_features,0.75496763,0.24503237,20.96110725402832,610.34546,668.9953
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001428_features,0.61327046,0.38672948,26.415529251098633,823.3956,548.1866
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000142_features,0.7206766,0.27932334,20.766080856323242,629.8312,551.31854
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001430_features,0.66446173,0.3355384,24.592477798461914,711.77856,592.78723
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001431_features,0.70672333,0.2932768,21.86974334716797,657.2599,576.2213
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001432_features,0.6905339,0.30946612,22.58748435974121,668.95166,569.20465
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001433_features,0.7489175,0.25108242,19.270793914794922,563.4126,530.8597
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001436_features,0.6677344,0.33226562,23.439762115478516,719.5969,552.0354
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001437_features,0.65211797,0.3478821,23.731769561767578,703.88586,527.6987
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001438_features,0.6086141,0.3913859,25.142419815063477,749.3863,491.3094
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001439_features,0.63953465,0.36046535,24.00699806213379,712.24347,510.70462
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000143_features,0.72666585,0.27333415,21.57845115661621,661.57983,617.6206
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001441_features,0.67990625,0.3200938,24.193359375,747.6634,613.23364
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001442_features,0.7296405,0.27035952,20.1469783782959,590.91724,534.94257
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001445_features,0.71453166,0.2854684,22.903757095336914,667.9925,646.0631
